Voltage (V),Frequency (MHz),Temperature (°C),Capacitance (F),Leakage Current (A),Switching Activity,Circuit Area (mm²),Power Consumption
1.139626407,191.0086223,66.49627559,5.04E-13,1.88E-07,0.726583817,1.961155641,2.15E-07
1.152651686,608.0090205,56.62214083,1.09E-12,1.87E-07,0.860974048,5.588579282,2.17E-07
1.084871111,754.0013619,27.87509402,1.43E-12,2.01E-07,0.106181877,14.67201735,2.18E-07
0.949386991,648.756562,25.01522924,1.07E-12,2.31E-07,0.527095582,5.301085091,2.19E-07
1.023459368,878.5518819,30.87620619,5.58E-13,2.19E-07,0.41215934,12.0295974,2.24E-07
0.893484178,442.0157185,49.89976703,1.25E-12,2.57E-07,0.568369472,0.5,2.30E-07
1.088689635,489.9828404,26.49277,6.43E-13,2.11E-07,0.16409039,2.182205035,2.30E-07
1.101135166,528.2102185,38.51358491,1.37E-12,2.10E-07,0.325786546,9.630316343,2.31E-07
1.122766437,289.3494762,97.98798332,5.99E-13,2.06E-07,0.729102459,13.95819849,2.32E-07
1.024209536,870.2688773,57.50870182,1.31E-12,2.26E-07,0.64967222,12.5171816,2.32E-07
0.923124346,216.4124856,47.52527984,1.19E-12,2.56E-07,0.766815694,11.58740971,2.36E-07
0.878967273,799.6082242,51.3838215,1.42E-12,2.70E-07,0.264137715,10.7656517,2.38E-07
1.053899579,611.2595331,46.33917033,8.87E-13,2.26E-07,0.329026335,2.380907857,2.39E-07
0.944019254,114.3651723,61.72722871,1.10E-12,2.55E-07,0.390591201,14.12371509,2.40E-07
1.026755524,840.7465632,59.76993525,1.15E-12,2.39E-07,0.657193003,3.287443515,2.46E-07
0.867257278,200.4533277,61.74434988,8.44E-13,2.90E-07,0.718463167,12.91545788,2.52E-07
0.813072132,486.0315189,76.8969292,6.27E-13,3.10E-07,0.105117547,9.531128081,2.52E-07
1.09355699,799.0581622,81.75756991,9.59E-13,2.30E-07,0.626839659,2.160031588,2.52E-07
1.006249018,534.1215501,86.17963629,1.21E-12,2.52E-07,0.593881228,7.071325686,2.54E-07
0.932860077,798.192482,86.7092189,1.39E-12,2.74E-07,0.702662094,12.77251029,2.56E-07
0.968847104,992.2587757,26.571865,1.18E-12,2.66E-07,0.211242405,9.921750026,2.58E-07
1.152443652,687.9956828,40.15662676,9.00E-13,2.26E-07,0.295686018,3.480769382,2.60E-07
1.001039715,334.8556866,30.3420903,7.68E-13,2.62E-07,0.357810342,10.43812996,2.63E-07
1.090778472,402.5859085,80.76681173,1.44E-12,2.41E-07,0.458304819,12.18371469,2.63E-07
0.958023254,624.3672625,20,1.39E-12,2.75E-07,0.730414708,1.737889229,2.64E-07
0.998058824,722.9803945,41.29589591,1.18E-12,2.66E-07,0.298710766,4.95139652,2.66E-07
0.871324981,721.4075653,83.43629339,1.49E-12,3.08E-07,0.275026794,10.21549878,2.68E-07
0.992981778,771.9136571,21.16344574,1.34E-12,2.71E-07,0.14576706,1.276210668,2.69E-07
0.934817142,925.6722332,65.06158808,6.87E-13,2.90E-07,0.883015595,14.69534074,2.71E-07
1.09796098,676.2965512,69.57516747,5.21E-13,2.48E-07,0.552084618,6.642610269,2.72E-07
1.103842862,454.7505952,36.39010321,8.58E-13,2.47E-07,0.554106085,5.978643253,2.72E-07
0.880339814,173.2786388,49.19448219,8.47E-13,3.14E-07,0.890054196,8.86872632,2.76E-07
0.875855306,932.660995,51.3583143,1.38E-12,3.21E-07,0.707726978,13.44900698,2.82E-07
1.020901987,357.1465354,74.51571433,1.24E-12,2.77E-07,0.881377238,4.537600532,2.83E-07
0.844793695,526.4901713,99.55985752,8.82E-13,3.36E-07,0.840281388,12.13496453,2.84E-07
1.000593073,688.0614135,62.42009703,8.83E-13,2.85E-07,0.121687618,11.14345477,2.85E-07
0.817977602,353.4891351,28.40898366,1.10E-12,3.50E-07,0.400475874,11.53565255,2.86E-07
1.167281092,673.7998294,70.09719612,1.15E-12,2.46E-07,0.501584618,12.34001958,2.87E-07
0.926631047,168.0812651,39.40904971,1.04E-12,3.11E-07,0.697470854,6.561230533,2.88E-07
0.844404499,785.8385819,91.31462476,6.87E-13,3.43E-07,0.248364326,2.966605503,2.89E-07
0.987180169,614.071561,59.12118867,8.97E-13,2.93E-07,0.719710079,13.4180966,2.89E-07
1.074700681,792.7781258,34.51569009,8.78E-13,2.70E-07,0.179174687,2.027380287,2.90E-07
1.090016903,630.9160791,45.31443382,5.51E-13,2.69E-07,0.334792023,13.17569422,2.94E-07
0.980294464,585.1643012,21.68699608,6.83E-13,3.08E-07,0.653680338,2.040803863,3.02E-07
1.131137235,352.6185786,79.89382231,8.59E-13,2.68E-07,0.357172262,5.27167756,3.03E-07
1.050668168,985.1390969,75.55781308,1.34E-12,2.89E-07,0.1078792,5.888501601,3.04E-07
0.871336136,914.1364066,59.82729229,8.30E-13,3.49E-07,0.857609452,11.17505551,3.05E-07
0.882631765,521.2855283,79.80685928,1.32E-12,3.50E-07,0.176610353,5.737808694,3.09E-07
0.861854418,466.0872612,77.02822053,1.13E-12,3.62E-07,0.591341252,6.591976866,3.12E-07
1.18265129,342.7368993,59.67620354,9.85E-13,2.65E-07,0.587750353,14.4872365,3.14E-07
0.816751681,982.5321359,28.27532412,1.49E-12,3.84E-07,0.830849367,10.57997422,3.14E-07
0.828772555,403.116167,91.5392018,5.26E-13,3.81E-07,0.292462394,8.410583393,3.16E-07
0.825421741,737.7748176,58.59826284,9.05E-13,3.82E-07,0.641564363,3.91835162,3.16E-07
0.849875456,991.9444378,31.58790838,1.36E-12,3.72E-07,0.147092668,7.268069973,3.16E-07
0.955275829,416.0474633,86.75278537,5.24E-13,3.32E-07,0.777319065,11.3461009,3.17E-07
0.851095485,195.1802529,75.80468524,1.05E-12,3.73E-07,0.416635238,9.921036878,3.17E-07
0.838087523,684.4967545,37.80156238,8.18E-13,3.81E-07,0.678462126,5.053720692,3.19E-07
1.125819125,407.663801,78.22056374,1.41E-12,2.85E-07,0.108959014,10.3478024,3.21E-07
0.937263122,102.3599696,93.30455575,1.45E-12,3.45E-07,0.589869912,7.17513062,3.23E-07
0.925201356,550.7204806,71.08658895,1.07E-12,3.49E-07,0.773832282,10.16159984,3.24E-07
0.988271472,573.0106526,51.89839667,1.05E-12,3.30E-07,0.636016014,2.647365686,3.27E-07
1.071749446,538.8988157,22.34694411,1.27E-12,3.05E-07,0.386457289,8.546132489,3.27E-07
1.153551304,151.5553621,65.39802631,1.43E-12,2.88E-07,0.529220144,2.703206776,3.32E-07
0.923539836,227.2781384,77.68866043,9.31E-13,3.61E-07,0.26958596,0.912780187,3.33E-07
1.042223618,213.823216,77.94642758,5.14E-13,3.22E-07,0.665390573,7.096250492,3.36E-07
1.008207622,255.0373201,94.15436766,1.16E-12,3.33E-07,0.615448885,6.309339746,3.36E-07
0.993601766,975.0475347,36.29490152,1.15E-12,3.39E-07,0.147580251,14.47327522,3.37E-07
1.198937954,806.4646725,46.14417748,5.28E-13,2.81E-07,0.362161712,11.62364394,3.37E-07
0.939292391,613.7919291,94.96479127,7.36E-13,3.69E-07,0.645770981,7.065431271,3.47E-07
1.118777669,631.2186625,39.42731603,5.08E-13,3.10E-07,0.409095725,13.42733236,3.47E-07
1.015601031,818.1393341,34.84966003,6.67E-13,3.43E-07,0.225612555,8.727249652,3.48E-07
1.031922886,432.1070647,37.34910405,5.76E-13,3.38E-07,0.724964445,11.7506246,3.49E-07
0.935206126,419.6567254,92.79000633,1.07E-12,3.76E-07,0.593402334,13.96236626,3.52E-07
0.883713251,316.1691693,36.76978563,1.02E-12,3.98E-07,0.691357833,14.99483203,3.52E-07
0.828195051,923.6069143,91.751029,1.08E-12,4.27E-07,0.753198162,0.933864373,3.55E-07
1.170840005,793.7363741,53.90198781,1.15E-12,3.04E-07,0.720377836,14.45899839,3.57E-07
1.011060777,247.8775021,28.02394226,1.40E-12,3.58E-07,0.470787416,1.972908959,3.62E-07
0.97954217,631.7963681,43.74993447,1.39E-12,3.70E-07,0.560530496,10.99180596,3.63E-07
0.989943421,671.0816821,32.6531101,5.97E-13,3.68E-07,0.100149245,8.069767678,3.64E-07
0.9339675,669.0770194,35.2211772,1.25E-12,3.93E-07,0.24098728,2.346365576,3.67E-07
1.14115895,723.0240091,72.50248753,5.58E-13,3.22E-07,0.705817089,9.982619796,3.68E-07
0.94948635,563.3815777,25.88646459,1.18E-12,3.87E-07,0.584642893,10.74409118,3.68E-07
1.024329189,165.1063924,39.7431229,7.39E-13,3.62E-07,0.801217854,8.276114631,3.71E-07
0.87003569,233.9559503,44.98185509,5.67E-13,4.27E-07,0.898201449,10.44085116,3.71E-07
1.009109929,882.307667,24.13972406,1.15E-12,3.68E-07,0.734518265,12.48349128,3.72E-07
1.082603502,151.8184501,21.74098323,8.66E-13,3.46E-07,0.547210689,3.972070024,3.74E-07
0.829658608,959.5694513,45.73905782,7.94E-13,4.60E-07,0.721320766,4.543464791,3.82E-07
1.192833859,319.2921566,28.10667662,6.86E-13,3.20E-07,0.741574021,1.971029336,3.82E-07
1.157013348,284.0290337,55.79341501,1.30E-12,3.31E-07,0.643705314,5.064155464,3.83E-07
0.845295212,523.1816555,43.86842374,6.02E-13,4.57E-07,0.572097421,6.819772427,3.86E-07
0.957286299,448.9751142,52.27295905,1.04E-12,4.05E-07,0.109461329,5.359906757,3.88E-07
0.904659203,563.4897369,37.78944596,1.21E-12,4.31E-07,0.182038629,11.25310362,3.90E-07
0.867692352,914.6380628,81.06489988,5.56E-13,4.50E-07,0.295950775,0.908697232,3.91E-07
1.066468496,187.2930169,60.60003498,1.48E-12,3.70E-07,0.100786359,10.30442188,3.95E-07
0.830650216,303.7667994,25.9585994,1.47E-12,4.78E-07,0.469821604,1.172142102,3.97E-07
0.951709024,375.1850198,77.53045022,1.09E-12,4.19E-07,0.294142657,7.964491873,3.99E-07
0.82732354,731.8951287,91.92874063,1.13E-12,4.91E-07,0.600154766,5.89044345,4.07E-07
0.908669072,831.8990042,98.60139381,1.06E-12,4.50E-07,0.477159252,14.93741998,4.09E-07
0.845603095,803.939898,82.77650392,6.99E-13,4.86E-07,0.732152965,1.149729853,4.11E-07
0.975298135,193.543445,30.02350561,9.91E-13,4.21E-07,0.348420131,10.89096199,4.11E-07
0.94081968,217.8701174,25.32874695,9.01E-13,4.37E-07,0.338472581,3.576132354,4.12E-07
0.902432495,740.6883644,77.98814692,9.97E-13,4.62E-07,0.350830435,4.960936339,4.17E-07
1.112598586,878.5030746,54.33117414,7.31E-13,3.74E-07,0.879048342,2.920770542,4.17E-07
0.831670465,644.1238783,71.81815376,1.09E-12,5.07E-07,0.19599814,5.981586057,4.22E-07
1.024162744,203.8981614,79.35599575,1.37E-12,4.13E-07,0.121575818,3.299228224,4.23E-07
0.826926463,470.8264825,59.14623042,9.34E-13,5.12E-07,0.421745761,1.65858755,4.23E-07
0.884294643,849.5042511,89.18244137,6.47E-13,4.80E-07,0.194159305,8.273246266,4.25E-07
1.152706604,519.0683068,46.66693591,6.59E-13,3.69E-07,0.351064235,8.02165772,4.25E-07
0.850627167,347.903382,37.49127474,8.14E-13,5.01E-07,0.458475555,7.613032862,4.26E-07
0.833357936,695.9394659,22.19532558,7.81E-13,5.18E-07,0.479111366,3.642392618,4.32E-07
1.076459905,763.2284094,26.90829131,1.05E-12,4.02E-07,0.120401674,13.36421561,4.33E-07
0.961440202,873.8324754,48.57324474,1.20E-12,4.53E-07,0.153313199,12.255205,4.35E-07
0.905376954,441.221422,29.08617613,1.02E-12,4.80E-07,0.753390995,9.710869348,4.35E-07
0.964592076,202.588338,90.77584795,8.11E-13,4.54E-07,0.876461456,4.4811902,4.38E-07
1.028948807,164.2340987,28.00025939,9.26E-13,4.29E-07,0.599513233,13.82148989,4.42E-07
0.816975246,598.4535773,72.12246711,9.38E-13,5.42E-07,0.532583651,5.799645328,4.43E-07
0.888520839,599.3494468,52.79367085,1.28E-12,5.00E-07,0.54237237,14.93660003,4.45E-07
0.81905597,230.2251026,60.56021508,7.08E-13,5.46E-07,0.580872148,6.869618997,4.47E-07
1.019800785,115.2867288,82.75404697,6.64E-13,4.46E-07,0.826000918,13.5990186,4.55E-07
1.116546038,245.6001082,79.01264965,1.26E-12,4.09E-07,0.491071797,2.415120643,4.57E-07
0.86259448,273.6425548,52.26415795,9.60E-13,5.30E-07,0.265267538,3.19026148,4.58E-07
1.007703225,886.1246535,84.84352838,1.04E-12,4.54E-07,0.666524891,13.67386769,4.58E-07
0.956028255,306.0369246,29.30365263,1.50E-12,4.79E-07,0.597535934,8.368289311,4.58E-07
0.931215166,645.6217991,52.54368981,1.31E-12,4.92E-07,0.690574388,3.04701787,4.58E-07
0.947705485,560.6616594,55.03568889,1.06E-12,4.83E-07,0.813366504,9.24679371,4.59E-07
0.91959686,701.8537268,41.4026725,1.25E-12,5.00E-07,0.403164431,11.75332296,4.60E-07
1.156389759,104.7113784,53.31714384,6.72E-13,3.98E-07,0.643365999,10.35740366,4.61E-07
1.092757773,678.3657601,29.64729626,5.68E-13,4.22E-07,0.769989815,3.344926607,4.62E-07
0.849172359,820.175214,78.57283683,1.37E-12,5.44E-07,0.859526367,8.515834209,4.63E-07
0.854563949,935.2550948,68.11290629,6.35E-13,5.43E-07,0.703322041,4.65963857,4.64E-07
0.854882205,429.707879,66.11586958,1.32E-12,5.43E-07,0.856719208,7.294078557,4.65E-07
0.973284897,628.7722764,86.20394113,5.64E-13,4.78E-07,0.275732062,5.004028669,4.65E-07
0.865564362,393.7019598,25.46704422,1.01E-12,5.37E-07,0.367149091,0.63259239,4.65E-07
0.841276123,922.4515942,87.50449007,1.36E-12,5.54E-07,0.894038405,14.52449305,4.67E-07
0.992173955,180.8247405,67.08923949,9.03E-13,4.71E-07,0.602527373,5.944991211,4.67E-07
0.975446626,806.4677533,76.35453394,1.42E-12,4.80E-07,0.21104136,6.37654559,4.68E-07
0.961929027,905.6460093,87.09467908,1.38E-12,4.86E-07,0.674990432,6.220500809,4.68E-07
1.014112037,825.023134,65.26850571,1.18E-12,4.65E-07,0.698476102,13.38798529,4.72E-07
0.862580644,525.6090363,34.11220487,1.49E-12,5.48E-07,0.569590587,5.408311443,4.73E-07
0.831334673,763.9429683,46.8189294,1.35E-12,5.69E-07,0.563078992,14.53229846,4.74E-07
1.042594018,302.3441797,54.02264638,8.51E-13,4.56E-07,0.779255696,5.475974408,4.76E-07
0.806065633,743.60674,25.55805708,7.97E-13,5.97E-07,0.841062998,14.65568279,4.81E-07
0.85629202,836.1174981,27.05843735,1.50E-12,5.64E-07,0.382985924,1.257385079,4.83E-07
0.854111022,903.665764,72.99409698,6.12E-13,5.66E-07,0.249843126,10.51939706,4.83E-07
0.897453578,409.1783285,23.47593505,1.07E-12,5.43E-07,0.145419679,4.588394312,4.87E-07
0.854607551,394.1703451,44.72883496,1.41E-12,5.71E-07,0.523774847,10.90538898,4.88E-07
1.099374357,700.8186274,87.61604011,1.07E-12,4.45E-07,0.805543136,6.2447054,4.90E-07
0.930048043,532.2597669,90.39261465,9.29E-13,5.28E-07,0.773189062,1.300170554,4.91E-07
0.862207159,325.1242268,69.52582764,1.22E-12,5.70E-07,0.331975814,8.802212646,4.91E-07
0.946802112,451.0483512,80.47638576,1.44E-12,5.20E-07,0.403572876,14.80888584,4.93E-07
0.860445081,991.2480962,87.41373896,6.23E-13,5.74E-07,0.389833337,12.8533067,4.94E-07
0.916937055,195.0408094,98.98525849,6.19E-13,5.40E-07,0.636055821,1.988137665,4.95E-07
1.084128188,956.0189792,58.61211922,1.08E-12,4.59E-07,0.678836397,6.332414371,4.98E-07
1.13512346,641.6945693,42.62673424,1.18E-12,4.39E-07,0.753328646,2.49155997,4.99E-07
0.995863859,717.2870764,55.04377726,1.41E-12,5.02E-07,0.281412419,1.067581032,5.00E-07
0.881930571,898.4383381,35.29495679,1.49E-12,5.66E-07,0.584727821,0.57304474,5.00E-07
1.112635052,643.9380741,21.90834505,1.31E-12,4.49E-07,0.466414397,2.013995766,5.01E-07
0.808975435,807.2182568,71.63016914,5.24E-13,6.19E-07,0.753515441,4.43417667,5.01E-07
0.874739035,368.1853119,88.8037912,1.05E-12,5.77E-07,0.571433069,7.497651246,5.05E-07
1.025192259,929.0755443,81.69904079,1.03E-12,4.93E-07,0.811801997,9.490497199,5.06E-07
1.161281286,155.8774507,87.91908566,8.48E-13,4.38E-07,0.188944973,8.928017279,5.09E-07
0.815786335,550.4153215,82.46974291,5.73E-13,6.27E-07,0.235418121,13.44211806,5.11E-07
0.970177869,569.4179857,41.3746628,1.12E-12,5.27E-07,0.368783261,3.086253002,5.11E-07
0.832868578,109.5775281,93.55856541,1.16E-12,6.18E-07,0.890621987,12.85778917,5.15E-07
0.896110318,762.2774902,21.49592808,1.50E-12,5.75E-07,0.356250872,7.71690901,5.15E-07
0.943210086,225.6293614,59.49995929,6.02E-13,5.47E-07,0.885771026,0.503695914,5.16E-07
1.117840579,928.3516292,32.79538858,7.43E-13,4.62E-07,0.874759702,8.182568124,5.17E-07
1.012931841,212.9046417,33.20673977,1.18E-12,5.11E-07,0.394491345,7.080259357,5.18E-07
1.175489913,203.0939136,58.97691169,7.13E-13,4.42E-07,0.825826606,13.77566795,5.20E-07
0.994570664,758.2183268,71.85587747,1.09E-12,5.22E-07,0.81672167,8.854005201,5.20E-07
1.040770629,562.3705048,76.88351917,1.14E-12,5.00E-07,0.714346954,9.375076108,5.21E-07
0.915182138,654.6307137,42.13354349,1.13E-12,5.69E-07,0.522655418,7.729522304,5.21E-07
0.908744702,901.0452812,43.49742223,1.00E-12,5.76E-07,0.189264254,6.975325836,5.23E-07
1.077725381,243.1263884,60.46862157,6.55E-13,4.86E-07,0.448211627,12.37167585,5.23E-07
1.118981664,967.4801166,67.92898033,9.92E-13,4.68E-07,0.811565953,7.508630701,5.24E-07
1.095202684,578.7948995,99.29967336,7.00E-13,4.79E-07,0.560786608,1.492779274,5.25E-07
0.840941934,119.1743937,50.18014759,1.15E-12,6.27E-07,0.330387323,8.217059361,5.27E-07
0.960697435,666.4585799,56.21845463,1.42E-12,5.48E-07,0.253237949,4.439313685,5.27E-07
0.98689814,932.5507995,81.09727907,1.41E-12,5.34E-07,0.525812173,7.237813425,5.28E-07
0.979740303,598.0559339,54.56950556,1.05E-12,5.41E-07,0.481597967,2.689145547,5.30E-07
1.052435292,616.0107396,95.73788313,1.22E-12,5.04E-07,0.268990591,1.326247551,5.30E-07
0.804481637,219.949762,33.58362842,1.01E-12,6.60E-07,0.290046887,13.62304268,5.31E-07
0.846207817,939.5090612,33.40791173,1.34E-12,6.27E-07,0.599439076,9.977441494,5.31E-07
1.17372565,296.1406463,51.23103603,9.84E-13,4.52E-07,0.873153976,2.948988842,5.31E-07
1.137307155,795.906598,27.83896817,1.22E-12,4.67E-07,0.747453095,11.96126949,5.32E-07
0.928236561,441.8571314,79.42273998,1.43E-12,5.73E-07,0.149769519,14.35890412,5.32E-07
1.022833729,982.7901849,87.22496165,1.41E-12,5.21E-07,0.673954964,4.914363298,5.34E-07
1.056331158,806.6156172,59.18691887,1.41E-12,5.06E-07,0.235626632,6.510578717,5.35E-07
0.977342643,399.4501676,70.94574598,1.18E-12,5.48E-07,0.561510125,4.571176213,5.35E-07
0.968802828,877.5953797,57.93836923,7.57E-13,5.56E-07,0.886470174,9.478857616,5.39E-07
0.993690862,580.2765648,21.56488288,6.01E-13,5.43E-07,0.183762117,1.885379752,5.40E-07
1.179865808,658.5418853,92.01571202,1.12E-12,4.62E-07,0.158557102,5.703439782,5.45E-07
1.043087762,523.9451688,54.75531485,1.33E-12,5.25E-07,0.510615055,8.454304457,5.48E-07
1.1046199,211.0815019,92.85811005,1.10E-12,4.99E-07,0.529600945,6.721004434,5.51E-07
0.878476244,342.8674466,66.11551443,1.23E-12,6.28E-07,0.648540837,8.622899401,5.52E-07
