Voltage (V),Frequency (MHz),Temperature (°C),Capacitance (F),Leakage Current (A),Switching Activity,Circuit Area (mm²),Power 
1.195321538,542.8191668,87.077215,1.07E-12,1.89E-06,0.32685502,1.606409435,0.002257095
1.047068614,381.3823768,40.80733382,9.57E-13,4.86E-06,0.270400838,3.329088273,0.005088571
1.065706175,809.9095307,37.96279788,1.22E-12,2.25E-07,0.481012857,12.1614758,0.000240479
0.876330899,174.7137112,79.27522149,1.46E-12,3.54E-06,0.859707016,9.803779165,0.003102458
0.952971201,105.4373302,95.69925698,9.36E-13,2.51E-06,0.171424168,11.50831872,0.00238973
1.037617604,913.9105353,73.6028967,6.64E-13,2.85E-06,0.547697872,5.343691474,0.002957652
0.971726189,646.1356486,54.68534472,1.10E-12,3.39E-06,0.548333126,0.895228562,0.003291407
1.123835409,529.5022683,83.43525007,1.40E-12,4.60E-06,0.699971882,12.15948104,0.005172143
1.140563553,183.0796124,87.88375666,5.38E-13,9.90E-07,0.865501568,4.239570635,0.00112962
1.164416419,843.4554865,91.4686993,8.37E-13,2.67E-06,0.423386889,5.568446217,0.003113953
1.162753517,211.0136698,51.27309972,5.28E-13,4.66E-06,0.424786312,8.143652629,0.005419027
1.072674905,229.0258805,79.61927259,1.47E-12,1.88E-06,0.669295165,1.081489416,0.002018962
1.173538356,143.8043457,42.84992735,1.07E-12,1.52E-06,0.219078895,9.274411167,0.001780276
0.949222477,339.8806176,79.57722716,1.14E-12,4.86E-06,0.771111948,4.346246397,0.004614636
1.109613052,776.710891,68.60310973,7.19E-13,3.03E-06,0.508319488,7.077059059,0.003360872
1.030523217,497.3629113,29.13734435,1.43E-12,4.83E-06,0.868860973,0.881518481,0.004978537
1.094688422,780.0002267,43.06071348,1.26E-12,3.79E-06,0.206560769,3.971481824,0.004145492
0.922140149,852.9209465,74.01183882,8.99E-13,4.97E-06,0.815675739,10.43389108,0.004581407
1.136333855,618.4602904,59.14864331,9.62E-13,4.04E-06,0.431357312,5.740426142,0.004593939
0.957409203,182.9544354,40.13940467,1.12E-12,3.73E-06,0.359237415,6.43222755,0.003571835
1.040627579,908.5523599,33.55352407,1.25E-12,3.78E-06,0.670129062,13.6812657,0.00393786
1.11510777,827.9089536,99.44507974,1.44E-12,5.00E-06,0.739886605,2.863012673,0.00557199
1.11545089,857.516274,99.27335621,5.85E-13,3.18E-06,0.247008487,6.134652633,0.003542042
1.015860418,769.2373471,31.1429548,1.37E-12,2.17E-07,0.726499402,8.550580437,0.000221057
0.812122925,641.290946,49.11281179,1.39E-12,5.86E-07,0.339007481,9.194524144,0.000476328
0.941326015,802.7165304,67.41988825,1.29E-12,1.88E-06,0.730513297,11.99551921,0.0017675
1.194253073,199.6379077,90.310621,7.27E-13,4.06E-06,0.892831943,7.299007831,0.004843657
0.993490262,261.305871,52.89931907,1.04E-12,9.72E-07,0.416810521,11.24158745,0.000965782
1.001928664,987.5676294,42.83854777,1.39E-12,4.88E-06,0.692837544,1.895921052,0.0048896
0.879674884,555.6961631,94.30228173,1.43E-12,4.92E-07,0.319723588,8.021832019,0.000432592
1.13685642,650.4748136,79.55061094,1.18E-12,4.08E-06,0.102957616,11.06063493,0.00464126
1.01724202,517.5627107,97.95871914,6.62E-13,2.57E-06,0.221313086,1.606567031,0.002616684
1.147983186,586.5563275,33.63365078,8.93E-13,2.80E-06,0.804280875,1.380602197,0.003210477
0.905407334,205.2248097,70.92043122,9.49E-13,9.39E-07,0.769760508,11.97377743,0.000850326
1.139168034,476.6012498,98.93766552,1.32E-12,4.99E-06,0.881104203,11.46860402,0.005683581
0.984055931,184.1980376,58.35968367,6.10E-13,1.76E-06,0.788622501,2.635669771,0.001733095
0.870627422,836.6625187,95.18815594,1.20E-12,5.76E-07,0.744615181,2.935835098,0.000502384
0.992412763,828.0674155,66.84658581,7.16E-13,1.75E-06,0.273971328,5.568728185,0.00173582
1.097835054,518.5532682,24.08773456,9.61E-13,1.21E-06,0.359602117,11.31075236,0.001331712
0.889439847,252.3252112,40.76665114,5.95E-13,1.70E-06,0.890476715,11.46517787,0.00151108
1.155935347,728.417845,29.37162525,5.04E-13,2.33E-06,0.672266024,2.966255495,0.002690966
0.872030059,280.7701753,21.34594645,7.52E-13,1.63E-07,0.730342481,9.603097442,0.00014247
0.900937221,155.8538173,95.30803146,9.77E-13,3.67E-06,0.274740254,14.54648039,0.003304069
0.955482631,610.9261337,79.83188592,1.09E-12,1.36E-06,0.274558309,9.54731786,0.001299643
0.941167399,604.9509405,53.96983653,9.08E-13,3.81E-06,0.275092674,0.687442383,0.003590052
1.151900283,207.4006815,98.16462144,1.43E-12,6.94E-07,0.648227891,4.081212514,0.000799673
1.139502761,613.7250105,28.77937787,1.38E-12,6.29E-07,0.30770502,6.194667416,0.000717541
0.999764054,101.2417456,94.40491588,1.25E-12,3.46E-06,0.527777129,13.53522005,0.003457629
0.819163625,135.0326768,61.2050582,5.61E-13,2.61E-06,0.273264247,0.500645102,0.002138134
0.987279469,676.0792652,72.32582375,6.50E-13,1.07E-06,0.64709481,2.484014456,0.00105473
0.832860687,863.262971,65.05928611,8.39E-13,2.16E-06,0.409149634,6.623978986,0.001800042
0.860382387,380.6351832,43.39971655,8.08E-13,3.90E-06,0.482258365,7.015199806,0.003359273
0.996953508,364.311648,74.58797863,1.25E-12,4.70E-06,0.319797298,1.258545438,0.004686065
1.135166623,935.5414489,54.09610294,8.92E-13,4.74E-06,0.69237447,14.65944831,0.005385953
1.084097178,796.3088782,71.30945329,1.04E-12,2.18E-06,0.274550701,1.865200543,0.002361612
0.8991198,870.237147,71.62796715,1.39E-12,1.98E-06,0.205336362,9.440751351,0.00178305
0.803035313,292.1766018,95.43356556,7.05E-13,2.94E-06,0.50381385,7.914380331,0.00236103
0.902189813,923.9894058,37.63847835,1.08E-12,4.34E-06,0.827911868,6.776595102,0.003912481
1.085088734,863.0737779,93.90971991,1.39E-12,2.75E-06,0.394723077,6.988395903,0.002986274
0.896002514,688.2221258,81.42653008,1.30E-12,3.11E-06,0.286259294,10.8604381,0.002786794
0.853682646,763.4804873,78.66888639,1.14E-12,8.41E-07,0.326235012,2.230880687,0.000717974
0.988908668,463.1201016,44.02828496,1.13E-12,3.98E-06,0.410011162,4.296236229,0.003937019
0.830602602,174.3524048,96.61780144,1.31E-12,1.54E-06,0.473275828,12.11522296,0.001280819
1.013628865,313.0637008,46.41083802,1.31E-12,3.34E-06,0.563936801,10.28603532,0.00338623
0.948124782,843.6005511,92.52483269,9.48E-13,2.31E-06,0.358356889,14.24260659,0.002190767
1.049720913,263.6522149,59.0198076,8.23E-13,1.26E-06,0.528603006,2.058596731,0.001324308
1.011825931,399.8654969,44.27134257,1.16E-12,1.16E-06,0.833199465,14.53279918,0.001178263
0.873058096,128.115009,29.58201528,1.23E-12,1.24E-06,0.572446726,3.148516304,0.001086128
0.879153044,401.5414415,58.89922793,1.19E-12,1.57E-06,0.196623211,8.73502554,0.001377054
1.143439516,748.4167689,51.49881564,1.01E-12,2.61E-06,0.276817969,5.593740238,0.002981874
0.914704731,933.6459164,31.31433341,5.54E-13,1.29E-06,0.15425863,7.823321507,0.001181047
0.87962531,488.503529,20.56394096,7.41E-13,3.98E-06,0.279147046,1.016327018,0.003503163
0.896332214,222.7257098,54.83432321,7.67E-13,4.68E-06,0.690003195,12.27395473,0.004193815
0.869539225,655.6169462,85.96999945,1.29E-12,4.01E-07,0.784948262,2.510003241,0.000348913
0.952184581,982.3006249,53.96525979,7.27E-13,8.38E-07,0.662899347,12.37682008,0.000798058
0.834022811,573.0814011,68.45947067,1.06E-12,1.74E-06,0.732607081,7.11723449,0.001454478
1.177583589,607.0946499,24.37065198,1.49E-12,4.80E-06,0.81304563,14.71735951,0.005656757
0.910011143,844.4191447,36.86599899,6.71E-13,2.24E-06,0.12270101,1.470980288,0.002037687
0.894257241,966.9309186,31.26206847,5.77E-13,2.61E-06,0.726057424,1.539933836,0.002333186
1.198641358,649.6581235,48.64936704,1.16E-12,2.04E-06,0.37573024,10.86414178,0.002449276
1.094662921,588.3722974,44.9305991,1.06E-12,2.68E-06,0.791432669,0.99914111,0.002931822
0.919514697,572.6031486,46.20555425,7.61E-13,1.25E-06,0.514631428,13.91039602,0.001152936
1.011733889,988.5035113,59.61022486,1.25E-12,4.11E-06,0.558334485,6.766853336,0.004162384
0.83032716,530.3191366,45.16210288,1.17E-12,3.79E-06,0.737709155,12.40951114,0.00314957
1.172233657,328.3946169,65.06316333,6.87E-13,3.25E-06,0.188765582,10.6904304,0.003813928
1.055229107,659.6672601,73.85002877,8.45E-13,3.69E-06,0.828717661,2.898451842,0.003889335
1.194665979,243.8377273,77.75416479,9.48E-13,4.26E-06,0.836401433,4.413633104,0.005092264
1.173253163,895.8652082,20.12631597,6.09E-13,4.79E-07,0.405706545,0.962301325,0.00056273
0.964494084,739.3659008,58.31216034,1.10E-12,1.60E-06,0.529905151,5.71153935,0.001542519
1.149737001,628.5894796,44.4350946,1.36E-12,2.28E-06,0.850437443,7.639525391,0.002626971
1.196885036,668.7652832,27.07440227,1.23E-12,4.64E-06,0.791659076,14.39792865,0.00555358
0.968446844,450.6656321,90.35912122,1.30E-12,1.29E-06,0.565714468,8.792271497,0.001250279
0.871101528,745.0393335,66.92848597,7.23E-13,9.45E-07,0.455350459,0.906310796,0.000823771
1.066459627,746.649018,37.60816271,1.24E-12,1.87E-06,0.663834405,9.149491101,0.001992246
1.068984667,230.7545047,82.50212903,1.18E-12,1.77E-06,0.252728576,7.079417602,0.001888674
0.901603273,421.186276,94.79864288,5.90E-13,1.12E-06,0.59156039,5.833798777,0.001007832
1.135316496,621.9380596,75.79989697,1.21E-12,2.24E-06,0.725602461,7.359453513,0.002543035
1.117728042,531.6560781,83.03274467,1.04E-12,3.58E-06,0.312003639,2.919945346,0.004000497
1.099146584,896.5845672,90.93069762,9.34E-13,4.57E-06,0.188870951,12.00638372,0.005020381
0.994036674,723.3279296,29.34319526,6.50E-13,2.18E-06,0.315687118,6.698161643,0.002171817
0.955743121,613.739354,76.19405253,1.14E-12,3.69E-06,0.679191619,8.622048195,0.003527785
1.027655448,788.8537722,93.2432078,9.20E-13,4.37E-07,0.154892847,1.184444591,0.000449498
1.140077513,658.1483361,82.95196756,1.04E-12,3.01E-06,0.216517531,4.583085703,0.003436524
0.864951921,672.1031147,54.10485924,9.35E-13,3.95E-06,0.253773085,7.581960964,0.003418525
0.927298707,843.4183256,85.01902808,8.42E-13,2.95E-06,0.307508779,10.29870435,0.002739071
1.14516783,330.4726954,96.02667861,1.18E-12,1.91E-06,0.242464983,8.75999951,0.002184847
1.034771277,997.8721728,70.09302289,6.28E-13,2.22E-07,0.348301133,3.032754144,0.000229929
1.079592377,604.2620766,45.42319408,8.66E-13,1.21E-06,0.752984213,1.903047402,0.001307917
0.885824829,975.1481206,35.24436582,1.47E-12,4.04E-06,0.13179466,0.890535005,0.003578663
1.076113484,250.2602784,32.57473802,1.34E-12,3.28E-06,0.556779793,6.09380868,0.003526829
0.869953767,648.4920558,64.00698115,9.81E-13,1.50E-07,0.339153682,1.402234863,0.000130815
1.111221104,137.8507483,63.99686714,9.05E-13,7.61E-07,0.105086363,7.380134689,0.000845913
1.08376661,230.6849929,36.34079817,1.29E-12,2.12E-06,0.693076227,2.478229305,0.002298763
1.0985768,343.9846103,90.19605424,1.21E-12,3.36E-07,0.396634781,10.63467047,0.000369245
0.881378631,200.6821466,63.06092034,1.10E-12,3.48E-07,0.707790732,7.421330786,0.000307142
1.01426741,516.4249714,41.53184911,7.65E-13,2.88E-07,0.563238624,3.88433514,0.000292467
0.975866552,248.095486,84.51387135,6.76E-13,4.98E-06,0.610274081,4.716294956,0.004862699
1.007235457,506.124812,30.89792878,7.73E-13,2.43E-07,0.152620421,13.909937,0.000245185
1.048912958,531.0575472,70.66159092,1.10E-12,2.52E-06,0.444465007,5.684397846,0.002648146
0.807040546,644.7208163,50.13479413,1.49E-12,3.76E-07,0.745155127,4.937737993,0.000303622
1.151706021,200.0205616,94.10617854,1.02E-12,1.64E-06,0.470714148,9.313937357,0.001883368
0.943540339,297.8794278,54.58279373,1.37E-12,1.68E-06,0.239100751,14.16088904,0.001585809
0.807051067,562.2634319,77.66379967,7.57E-13,4.19E-06,0.747253185,13.80584909,0.003379837
0.94772327,713.9168873,35.57120277,1.44E-12,3.66E-06,0.798907823,0.728686647,0.003468602
1.118292049,315.7017781,20.85834821,1.34E-12,1.08E-06,0.643821985,2.05141769,0.001204695
0.978700015,618.5856326,63.58901265,1.01E-12,9.30E-07,0.556860769,10.20157027,0.000910121
0.939012183,554.736973,44.89609304,6.05E-13,8.37E-07,0.77643503,9.630710978,0.000786174
1.184318561,820.9209154,78.47923176,1.01E-12,2.22E-07,0.285712898,3.90352809,0.000263719
1.061230045,742.6705468,51.79748206,1.30E-12,1.87E-06,0.284539041,8.118849673,0.001987802
1.031392507,656.8267869,39.67401684,1.11E-12,1.34E-06,0.224797982,11.20883937,0.001380125
1.051182617,286.6933078,56.76802924,5.03E-13,3.45E-06,0.542376611,6.148127479,0.003628643
1.13874074,298.4216727,22.95520308,1.19E-12,3.43E-06,0.305885277,6.981458616,0.003903622
1.056862821,181.6702362,64.8335859,9.33E-13,2.02E-06,0.882054464,11.39748813,0.002137575
0.851419932,181.013707,61.71152639,1.22E-12,3.55E-06,0.261423877,5.533366063,0.003019292
1.020093351,962.9859695,54.9844064,1.37E-12,2.78E-07,0.209431393,6.923624107,0.000283803
0.964885073,762.994296,99.05286139,1.23E-12,2.25E-06,0.354413878,11.35446944,0.00217171
0.821365461,182.5832373,24.49805435,9.31E-13,1.08E-06,0.111806012,4.00307292,0.000886182
1.116398503,474.4199785,60.24461854,1.38E-12,4.71E-06,0.172276957,7.005725094,0.005259102
0.928350435,729.7468615,34.42425543,7.07E-13,4.98E-06,0.436918721,8.84331736,0.004624347
0.956896888,298.5580398,21.13681554,1.44E-12,1.17E-06,0.727350338,13.94866976,0.001115597
1.183394715,723.8359457,99.19561753,1.18E-12,4.05E-06,0.746432011,11.99746781,0.004791411
0.924013518,759.2795176,25.96894994,1.05E-12,4.74E-06,0.313373536,11.79474432,0.004381664
0.956479547,201.0299812,84.02008322,8.88E-13,9.47E-07,0.296190827,3.744534923,0.000905449
1.131213236,976.1747159,28.73589045,9.68E-13,3.12E-06,0.399032771,7.015199647,0.003532068
0.994157773,418.6927247,83.13167952,5.07E-13,7.17E-07,0.689456977,3.202069238,0.000713291
0.902817578,604.5268385,35.56144293,1.36E-12,2.70E-06,0.508446074,1.587191624,0.002442265
0.970314414,822.773333,60.9414305,1.10E-12,3.23E-06,0.421683616,3.458314244,0.003131907
1.091345734,279.1568217,84.34099849,9.06E-13,4.12E-06,0.158298592,11.49899653,0.004493569
1.037934569,389.440372,38.71478495,1.29E-12,7.04E-07,0.825644646,11.61996342,0.000731289
0.879481055,371.9557436,48.89186071,7.32E-13,1.11E-06,0.267487734,3.492217267,0.000974626
0.95880541,138.1923204,26.80979725,5.39E-13,8.34E-07,0.401643567,2.276714622,0.000799458
0.943145196,452.9672022,67.97037396,1.24E-12,1.17E-06,0.540300214,4.522102665,0.001105642
1.050481727,619.7543876,65.58170867,1.23E-12,9.29E-07,0.586266947,5.35483323,0.000976485
1.191609728,593.0759669,24.89088275,5.33E-13,3.59E-06,0.171132949,3.512327541,0.004280365
0.815862682,270.1473385,20.94607265,1.09E-12,4.78E-06,0.367580619,14.56209833,0.003901085
0.936004936,307.5100842,37.6324981,1.05E-12,1.45E-06,0.590048704,10.93327541,0.001358451
1.1330076,200.1979456,63.61282262,1.14E-12,3.66E-06,0.103590262,13.65649943,0.00414292
0.862588299,272.0903179,89.30514765,6.44E-13,3.53E-06,0.464742786,3.054471148,0.003044547
1.182392303,387.4363063,23.40361245,1.15E-12,3.90E-06,0.114513878,2.094466672,0.004617247
1.125076724,501.1174726,35.98365747,1.43E-12,2.63E-06,0.485175164,1.043819405,0.002962061
0.87293523,540.3085099,61.40373194,1.00E-12,8.26E-07,0.697196799,1.573393189,0.000721228
1.050588147,354.262887,40.75242295,6.47E-13,2.13E-06,0.257902333,10.78213361,0.002234784
1.053312531,646.6483405,64.01386478,5.01E-13,3.53E-06,0.104312389,8.114521257,0.003721313
1.079383547,537.6309741,49.59769897,1.42E-12,2.58E-06,0.842080657,9.466342337,0.002780671
1.139827134,676.0854571,88.06307951,8.82E-13,2.97E-06,0.680764898,2.068831844,0.00338898
0.924460189,714.9740562,73.61905683,7.84E-13,2.49E-06,0.625954257,11.78704599,0.002304141
1.08189702,962.1032433,70.86294037,1.03E-12,1.20E-06,0.82050539,6.01049579,0.001293891
1.01733648,154.1177372,51.73891661,1.08E-12,3.43E-06,0.875230725,8.119189799,0.003493957
0.991931956,523.4170752,39.43059141,8.91E-13,3.22E-06,0.165532296,5.436780243,0.003197132
1.107683029,144.4819005,86.3570216,1.35E-12,3.54E-06,0.377674235,1.915724997,0.003916183
0.812826219,827.7473811,60.50337252,8.03E-13,2.32E-06,0.876964884,3.750572893,0.001886494
1.112636952,716.2843516,68.90460212,1.48E-12,4.27E-06,0.227639225,12.41181911,0.004756629
1.136441184,109.9675787,65.91970382,1.22E-12,2.84E-06,0.443668035,5.723688787,0.003223003
1.012081992,971.5951774,93.11653033,1.40E-12,3.09E-06,0.520807778,7.124762408,0.003132566
0.966389476,663.7247665,31.33902159,1.44E-12,2.72E-06,0.842783401,9.461431322,0.002629862
0.983162194,960.2441966,62.77712898,9.54E-13,6.33E-07,0.585759742,14.9699374,0.000623002
1.100360751,394.9726665,45.27967873,7.90E-13,4.80E-06,0.796186592,3.35597355,0.00527936
0.813555479,459.5187306,48.96032296,1.25E-12,3.08E-06,0.498358494,2.54091507,0.002507531
1.013775591,998.1067111,63.34489744,1.19E-12,3.47E-07,0.318849905,11.03478341,0.000352456
1.004587198,419.6685156,32.30889518,5.70E-13,1.34E-06,0.290929619,7.031871833,0.001343712
1.093553841,836.3413947,57.49594506,1.49E-12,2.08E-06,0.127782969,0.926245765,0.00227846
0.864448801,570.3306979,59.97264555,1.15E-12,2.14E-06,0.861824202,12.53093815,0.001851383
0.820998429,891.7576664,53.35212967,6.12E-13,3.07E-06,0.407387188,4.483868079,0.002522047
0.989821695,604.5646734,45.50934899,1.38E-12,1.35E-06,0.753038687,8.591579568,0.001339488
0.998108494,442.1431541,37.33860908,1.46E-12,9.03E-07,0.171075367,3.798771655,0.000901887
0.923245848,442.0774773,25.63039765,1.39E-12,3.83E-06,0.490566355,12.77990556,0.003537366
0.984272521,704.3639199,29.2350191,5.55E-13,2.08E-06,0.299053758,10.24786077,0.002046789
1.08358707,142.5512008,52.14295561,1.40E-12,2.80E-06,0.388340006,11.60226747,0.003029004
0.966398175,733.7865264,25.06530443,1.25E-12,3.08E-06,0.651919181,11.48999793,0.00297929
1.11222638,507.0614436,37.73595435,6.37E-13,2.24E-06,0.779756574,3.570392313,0.00249461
1.066047392,953.9997517,36.40228601,5.37E-13,2.47E-06,0.518208108,8.127719507,0.002629702
0.817185824,335.8912051,47.36404954,6.03E-13,3.21E-06,0.176264923,0.58287168,0.002623057
0.823846894,912.9834354,36.29283752,1.25E-12,4.83E-06,0.438514264,10.79320539,0.003977379
0.883772508,133.7898376,78.7973727,1.10E-12,9.61E-07,0.23177233,8.125667984,0.000849711
1.051659869,450.0214575,75.18714888,8.42E-13,1.93E-06,0.884217645,9.071297052,0.002028176
1.03957782,951.557615,42.31896801,1.41E-12,3.67E-06,0.237525526,5.311554023,0.003812108
0.909606626,727.2245947,59.36485096,9.87E-13,3.50E-06,0.778347711,10.51960945,0.003185721
0.958568464,313.073784,46.64317038,5.26E-13,9.01E-07,0.815298364,14.86273664,0.000863988
0.929654318,885.0216613,36.12311196,1.20E-12,3.88E-06,0.165727988,14.7644208,0.003604191
1.123321709,650.4518817,38.04057647,1.43E-12,1.08E-06,0.24369195,3.110031693,0.001213858
0.865663231,208.2774342,80.85362727,6.84E-13,3.67E-06,0.103914723,12.08383315,0.003173051
0.831619627,670.7094379,93.48575746,5.21E-13,3.07E-06,0.549991185,7.131801318,0.002552108
1.035514848,145.8978222,74.46599602,1.12E-12,2.08E-06,0.684648647,9.287154239,0.0021521
1.182599355,191.731262,88.0801812,1.48E-12,4.84E-06,0.110861504,9.129985207,0.00571949
1.122260023,314.759085,90.35267433,5.70E-13,2.65E-06,0.138248624,10.24005959,0.002970087
1.180090903,811.9444089,86.49838635,5.48E-13,2.07E-06,0.830464368,11.52479967,0.002439341
1.098680942,522.9907423,89.781163,1.28E-12,2.78E-07,0.480522437,13.30338249,0.00030628
0.948846618,925.1973257,89.31062834,1.44E-12,1.98E-06,0.802292744,10.41166784,0.001882792
1.091019469,452.2765367,45.30431357,8.32E-13,3.62E-06,0.766718617,11.70380842,0.003949309
1.18677435,946.4834564,98.73666665,7.58E-13,3.97E-06,0.417626756,4.417307888,0.004710603
0.847820689,298.3105829,80.78505259,8.48E-13,8.52E-07,0.853107397,5.521638926,0.000722656
1.169663576,111.7574544,69.549753,5.66E-13,3.95E-06,0.5297697,6.243812096,0.004624721
1.090939739,760.7912515,40.67157377,1.19E-12,2.13E-06,0.466114667,14.31644187,0.002329574
0.924037782,526.582951,52.66134504,8.81E-13,1.56E-06,0.380907786,8.593628222,0.001443904
0.951298903,200.0077513,42.72275096,1.11E-12,4.46E-06,0.388881022,2.243034248,0.004240313
1.131054197,113.8386965,30.92253562,9.13E-13,4.23E-06,0.70321574,13.04410684,0.004787206
0.9775485,600.4244343,26.71572779,1.42E-12,2.07E-06,0.185601196,8.410019269,0.002026227
0.964790861,960.3047417,86.9206726,1.18E-12,1.26E-06,0.687647508,10.01815256,0.001220718
0.949147784,560.1717428,38.61161663,1.01E-12,4.21E-06,0.830039754,4.671455312,0.003997017
1.108760682,930.8150623,84.872383,1.31E-12,2.15E-06,0.30631804,2.226556025,0.002385342
0.98935491,258.6238018,79.90819887,1.08E-12,3.70E-07,0.823878963,5.137082307,0.000365803
0.83412203,197.8632638,41.48998888,1.36E-12,3.66E-06,0.70619085,12.98883026,0.003056382
0.83086899,474.0917348,36.3615695,1.02E-12,1.62E-06,0.547444411,7.04396486,0.00134305
0.858029341,906.5023433,87.70117585,1.02E-12,4.73E-06,0.66055865,3.313847192,0.004059033
0.871079743,170.7580771,61.69671431,1.08E-12,1.63E-06,0.115013882,12.5465493,0.001415854
1.0105562,358.342634,49.98342862,5.76E-13,3.83E-06,0.365028868,7.128489388,0.00386783
1.035865607,823.4545045,87.77060527,5.93E-13,1.85E-06,0.889244169,13.08565535,0.001911708
0.849710476,951.5068315,71.22623481,8.76E-13,3.13E-06,0.639785693,8.615006972,0.002658812
1.049932205,729.442321,60.05103849,1.21E-12,8.23E-07,0.188489707,8.167123382,0.000864439
1.185628309,311.8996975,94.68122411,1.31E-12,3.39E-06,0.6138937,4.11493916,0.004023955
0.876159906,938.5738701,36.43782419,1.35E-12,1.37E-06,0.11725675,14.02458401,0.001201358
1.077343635,736.7744558,50.52886644,8.34E-13,2.72E-06,0.662788572,6.822964981,0.00292868
0.8102445,175.1899334,56.75095858,1.21E-12,4.48E-06,0.592293704,10.66208219,0.003631583
1.101629353,457.1770421,48.78584148,1.31E-12,2.40E-06,0.301965037,8.954837177,0.002645831
1.171828829,463.8273983,65.03509776,1.11E-12,3.62E-06,0.285706901,6.459993783,0.004246871
1.004710852,529.8710517,44.98588317,6.82E-13,4.50E-06,0.593962827,5.713606867,0.004519992
1.179814205,450.845995,99.8373784,9.35E-13,1.00E-06,0.668766938,4.239035693,0.001185255
1.175508678,719.6213656,94.30988925,7.13E-13,1.72E-06,0.221531972,13.37591791,0.002025238
1.094499206,916.4236159,53.6624923,8.42E-13,4.92E-06,0.607121906,4.194591281,0.005381424
0.949552721,878.376763,40.5651714,7.34E-13,4.34E-06,0.378489503,4.29738688,0.004118729
0.862046288,773.2877194,57.56952007,1.43E-12,4.52E-06,0.532213903,9.054926179,0.003897196
0.885072478,711.4408566,29.27823132,1.17E-12,2.25E-06,0.114861236,3.670412511,0.001995111
1.163903005,926.5090682,27.63472291,1.41E-12,2.32E-06,0.875376351,4.613897033,0.002702541
1.181380903,152.8107174,65.61668558,1.05E-12,3.02E-06,0.789768608,5.531693987,0.003568507
1.089340643,224.4852199,71.95504064,1.32E-12,4.18E-06,0.300360144,5.080222751,0.004558373
1.064618233,716.5286114,96.04573283,8.78E-13,3.76E-06,0.190400694,6.685006238,0.00400602
1.086002765,452.4118685,56.1839896,8.46E-13,3.73E-06,0.145070374,8.178840011,0.004051119
0.8022934,678.5045208,39.10015504,1.25E-12,2.67E-06,0.437437483,14.34471977,0.002144009
1.035741777,198.7598249,80.90369788,1.09E-12,4.73E-06,0.108925809,0.738707973,0.004897996
0.836090102,868.9157094,87.83874339,1.10E-12,3.56E-06,0.341020701,10.13802117,0.002972983
1.020891273,720.3573852,44.12301154,6.26E-13,3.15E-06,0.377208617,5.871446337,0.003213668
1.194034439,191.8444145,90.42287193,7.82E-13,4.81E-06,0.117461849,12.43591707,0.005741543
0.824324885,116.6860184,90.10810586,8.54E-13,2.82E-06,0.834716344,7.171801883,0.002323418
0.993494824,197.1106331,55.66517562,7.56E-13,3.78E-06,0.819577636,10.84079104,0.003756491
0.818175988,320.633189,39.88470586,9.73E-13,3.93E-06,0.499904346,11.39348349,0.003218966
0.953522734,822.2345052,92.52578474,9.26E-13,3.37E-06,0.666840752,6.344535793,0.003213529
